bucket	id	cell_id	quantity	praat	r	source	enforcement	why
DECLARED	D-WORDING	c0033	refuse_reason	Group column "voice_type" has 3 groups. This test compares exactly 2.	Group column 'voice_type' has 3 group(s) after excluding blanks; this test compares exactly 2.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.
DECLARED	D-WORDING	c0034	refuse_reason	Group column "fam" has 5 groups. This test compares exactly 2.	Group column 'fam' has 5 group(s) after excluding blanks; this test compares exactly 2.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.
DECLARED	D-PTUKEY-MID	c0061	posthoc_control__patient_padj	7.200010299079906e-08	7.2000089001988954e-08	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.
DECLARED	D-PTUKEY-MID	c0062	posthoc_control__patient_padj	7.200010299079906e-08	7.2000089001988954e-08	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.
DECLARED	D-PTUKEY-MID	c0069	posthoc_welch__perfect_padj	2.7871114083311e-08	2.7871106977883642e-08	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.
DECLARED	D-PTUKEY-MID	c0069	posthoc_welch__mwu_padj	4.467722315215639e-06	4.4677223082212336e-06	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.
DECLARED	D-PTUKEY	c0069	posthoc_paired__corr_padj	7.046332406446254e-10	7.0462591317266288e-10	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 0.00127, declared limit 0.005 -- HOLDS	EXTREME-TAIL QUADRATURE, DIAGNOSED 27 AUGUST 2026, AND ENVIRONMENT-DEPENDENT. Both sides evaluate the studentised range distribution. The statistic itself is identical: at cell c0069, pair paired__perfect, q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- the same number. Only the CDF evaluation differs, so the spread is in ptukey's quadrature and nowhere else. It also depends on the Praat build. Against R's 5.6645799162424737e-12, the container returns 5.66435787e-12 (3.9e-5 relative) and the run machine returns 5.671796365902537e-12 (1.27e-3). The bound is 5e-3, set above the wider of the two rather than tuned to either, and asserted below. SCOPED to padj < 1e-9 by vmax. This clause speaks only for the extreme tail, where quadrature error is largest and the absolute difference is nil. A padj disagreement anywhere else is not covered and stays unexplained.
DECLARED	D-PTUKEY	c0069	posthoc_paired__perfect_padj	5.671796365902537e-12	5.6645799162424737e-12	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 0.00127, declared limit 0.005 -- HOLDS	EXTREME-TAIL QUADRATURE, DIAGNOSED 27 AUGUST 2026, AND ENVIRONMENT-DEPENDENT. Both sides evaluate the studentised range distribution. The statistic itself is identical: at cell c0069, pair paired__perfect, q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- the same number. Only the CDF evaluation differs, so the spread is in ptukey's quadrature and nowhere else. It also depends on the Praat build. Against R's 5.6645799162424737e-12, the container returns 5.66435787e-12 (3.9e-5 relative) and the run machine returns 5.671796365902537e-12 (1.27e-3). The bound is 5e-3, set above the wider of the two rather than tuned to either, and asserted below. SCOPED to padj < 1e-9 by vmax. This clause speaks only for the extreme tail, where quadrature error is largest and the absolute difference is nil. A padj disagreement anywhere else is not covered and stays unexplained.
DECLARED	D-PTUKEY-MID	c0069	posthoc_paired__mwu_padj	8.608098789331109e-09	8.6080916839037513e-09	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.
DECLARED	D-PTUKEY	c0070	posthoc_corr__paired_padj	7.046332406446254e-10	7.0462591317266288e-10	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 0.00127, declared limit 0.005 -- HOLDS	EXTREME-TAIL QUADRATURE, DIAGNOSED 27 AUGUST 2026, AND ENVIRONMENT-DEPENDENT. Both sides evaluate the studentised range distribution. The statistic itself is identical: at cell c0069, pair paired__perfect, q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- the same number. Only the CDF evaluation differs, so the spread is in ptukey's quadrature and nowhere else. It also depends on the Praat build. Against R's 5.6645799162424737e-12, the container returns 5.66435787e-12 (3.9e-5 relative) and the run machine returns 5.671796365902537e-12 (1.27e-3). The bound is 5e-3, set above the wider of the two rather than tuned to either, and asserted below. SCOPED to padj < 1e-9 by vmax. This clause speaks only for the extreme tail, where quadrature error is largest and the absolute difference is nil. A padj disagreement anywhere else is not covered and stays unexplained.
